likes,hour,hex,h,s,v
177,17,#eb1d71,335.5339805825243,0.8765957446808511,0.9215686274509803
487,16,#f58eb8,335.5339805825243,0.4204081632653061,0.9607843137254902
345,15,#fac75c,40.63291139240506,0.632,0.9803921568627451
209,14,#7d63ae,260.8,0.43103448275862066,0.6823529411764706
178,13,#3eb1d7,194.90196078431373,0.7116279069767442,0.8431372549019608
128,12,#9f58eb,268.9795918367347,0.625531914893617,0.9215686274509803
122,11,#4fac75,144.51612903225808,0.5406976744186046,0.6745098039215687
33,10,#27d63a,126.5142857142857,0.8177570093457944,0.8392156862745098
54,9,#13eb1d,122.77777777777777,0.9191489361702128,0.9215686274509803
88,8,#89f58e,122.77777777777777,0.44081632653061226,0.9607843137254902
122,7,#44fac7,163.1868131868132,0.728,0.9803921568627451
99,6,#a27d63,24.76190476190476,0.3888888888888889,0.6352941176470588
164,5,#513eb1,249.9130434782609,0.6497175141242938,0.6941176470588235
80,4,#a89f58,53.25,0.47619047619047616,0.6588235294117647
218,3,#544fac,243.2258064516129,0.5406976744186046,0.6745098039215687
195,2,#2a27d6,241.0285714285714,0.8177570093457944,0.8392156862745098
209,1,#1513eb,240.55555555555557,0.9191489361702128,0.9215686274509803
164,0,#0a89f5,207.5744680851064,0.9591836734693877,0.9607843137254902
150,23,#8544fa,261.4285714285714,0.728,0.9803921568627451
162,22,#42a27d,156.875,0.5925925925925926,0.6352941176470588
252,21,#21513e,156.25,0.5925925925925926,0.3176470588235294
516,20,#90a89f,157.5,0.14285714285714285,0.6588235294117647
206,19,#c8544f,2.479338842975207,0.605,0.7843137254901961
78,18,#642a27,2.9508196721311473,0.61,0.39215686274509803
236,17,#b21513,0.7547169811320755,0.8932584269662921,0.6980392156862745
172,16,#590a89,277.3228346456693,0.927007299270073,0.5372549019607843
101,15,#ac8544,37.5,0.6046511627906976,0.6745098039215687
171,14,#5642a2,252.49999999999997,0.5925925925925926,0.6352941176470588
173,13,#ab2151,339.1304347826087,0.8070175438596491,0.6705882352941176
334,12,#5590a8,197.34939759036143,0.49404761904761907,0.6588235294117647
53,11,#2ac854,135.9493670886076,0.79,0.7843137254901961
103,10,#15642a,135.9493670886076,0.79,0.39215686274509803
94,9,#8ab215,75.28662420382165,0.8820224719101124,0.6980392156862745
81,8,#45590a,75.18987341772151,0.8876404494382022,0.34901960784313724
152,7,#22ac85,163.04347826086956,0.8023255813953488,0.6745098039215687
86,6,#915642,15.18987341772152,0.5448275862068965,0.5686274509803921
88,5,#48ab21,103.04347826086956,0.8070175438596491,0.6705882352941176
280,4,#a45590,315.1898734177215,0.4817073170731707,0.6431372549019608
201,3,#522ac8,255.1898734177215,0.79,0.7843137254901961
220,2,#a91564,327.97297297297297,0.8757396449704142,0.6627450980392157
302,1,#548ab2,205.53191489361703,0.5280898876404494,0.6980392156862745
346,0,#2a4559,205.53191489361703,0.5280898876404494,0.34901960784313724
142,23,#9522ac,290,0.8023255813953488,0.6745098039215687
129,22,#4a9156,130.14084507042253,0.4896551724137931,0.5686274509803921
126,21,#a548ab,296.3636363636364,0.5789473684210527,0.6705882352941176
169,20,#d2a455,37.92,0.5952380952380952,0.8235294117647058
192,19,#e9522a,12.565445026178011,0.8197424892703863,0.9137254901960784
497,18,#f4a915,39.82062780269059,0.9139344262295082,0.9568627450980393
221,17,#7a548a,282.22222222222223,0.391304347826087,0.5411764705882353
186,16,#bd2a45,348.9795918367347,0.7777777777777778,0.7411764705882353
253,15,#de9522,36.702127659574465,0.8468468468468469,0.8705882352941177
198,14,#6f4a91,271.2676056338028,0.4896551724137931,0.5686274509803921
84,13,#37a548,129.27272727272725,0.6666666666666666,0.6470588235294118
140,12,#1bd2a4,164.91803278688525,0.8714285714285714,0.8235294117647058
55,11,#0de952,138.8181818181818,0.944206008583691,0.9137254901960784
104,10,#86f4a9,139.0909090909091,0.45081967213114754,0.9568627450980393
138,9,#437a54,138.54545454545453,0.45081967213114754,0.47843137254901963
112,8,#a1bd2a,71.42857142857143,0.7777777777777778,0.7411764705882353
88,7,#50de95,149.1549295774648,0.6396396396396397,0.8705882352941177
89,6,#a86f4a,23.617021276595747,0.5595238095238095,0.6588235294117647
187,5,#5437a5,255.8181818181818,0.6666666666666666,0.6470588235294118
91,4,#aa1bd2,286.88524590163934,0.8714285714285714,0.8235294117647058
106,3,#d50de9,294.54545454545456,0.944206008583691,0.9137254901960784
382,2,#6a86f4,227.82608695652175,0.5655737704918032,0.9568627450980393
246,1,#b5437a,331.0526315789474,0.6298342541436464,0.7098039215686275
316,0,#5aa1bd,196.96969696969697,0.5238095238095238,0.7411764705882353
154,23,#2d50de,228.135593220339,0.7972972972972973,0.8705882352941177
384,22,#96a86f,78.94736842105263,0.3392857142857143,0.6588235294117647
155,21,#4b5437,78.62068965517241,0.34523809523809523,0.32941176470588235
87,20,#25aa1b,115.8041958041958,0.8411764705882353,0.6666666666666666
92,19,#12d50d,118.5,0.9389671361502347,0.8352941176470589
417,18,#896a86,305.80645161290323,0.22627737226277372,0.5372549019607843
67,17,#44b543,119.47368421052632,0.6298342541436464,0.7098039215686275
139,16,#a25aa1,300.8333333333333,0.4444444444444444,0.6352941176470588
265,15,#512d50,301.6666666666667,0.4444444444444444,0.3176470588235294
248,14,#2896a8,188.4375,0.7619047619047619,0.6588235294117647
277,13,#944b54,352.6027397260274,0.49324324324324326,0.5803921568627451
96,12,#4a25aa,256.69172932330827,0.7823529411764706,0.6666666666666666
98,11,#a512d5,285.2307692307692,0.9154929577464789,0.8352941176470589
232,10,#d2896a,17.884615384615383,0.49523809523809526,0.8235294117647058
158,9,#6944b5,259.646017699115,0.6243093922651933,0.7098039215686275
86,8,#b4a25a,48,0.5,0.7058823529411765
66,7,#5a512d,48,0.5,0.35294117647058826
136,6,#2d2896,242.72727272727275,0.7333333333333333,0.5882352941176471
94,5,#96944b,58.400000000000006,0.5,0.5882352941176471
116,4,#4b4a25,58.42105263157895,0.5066666666666667,0.29411764705882354
66,3,#25a512,112.24489795918367,0.8909090909090909,0.6470588235294118
177,2,#92d289,112.6027397260274,0.3476190476190476,0.8235294117647058
205,1,#496944,111.8918918918919,0.3523809523809524,0.4117647058823529
269,0,#24b4a2,172.5,0.8,0.7058823529411765
135,23,#925a51,8.307692307692308,0.4452054794520548,0.5725490196078431
78,22,#492d28,9.090909090909092,0.4520547945205479,0.28627450980392155
192,21,#249694,178.94736842105263,0.76,0.5882352941176471
235,20,#924b4a,0.8333333333333333,0.4931506849315068,0.5725490196078431
107,19,#c925a5,313.1707317073171,0.8159203980099502,0.788235294117647
312,18,#6492d2,214.90909090909093,0.5238095238095238,0.8235294117647058
242,17,#324969,214.90909090909093,0.5238095238095238,0.4117647058823529
141,16,#9924b4,288.75,0.8,0.7058823529411765
138,15,#4c925a,132,0.4794520547945205,0.5725490196078431
106,14,#26492d,132,0.4794520547945205,0.28627450980392155
106,13,#932496,298.42105263157896,0.76,0.5882352941176471
120,12,#c9924b,33.80952380952381,0.6268656716417911,0.788235294117647
47,11,#64c925,96.95121951219511,0.8159203980099502,0.788235294117647
199,10,#b26492,324.61538461538464,0.43820224719101125,0.6980392156862745
135,9,#d93249,351.7365269461078,0.7695852534562212,0.8509803921568627
65,8,#6c9924,83.07692307692308,0.7647058823529411,0.6
133,7,#364c92,225.65217391304347,0.6301369863013698,0.5725490196078431
246,6,#1b2649,225.65217391304347,0.6301369863013698,0.28627450980392155
107,5,#8d9324,63.243243243243235,0.7551020408163265,0.5764705882352941
144,4,#46c992,154.8091603053435,0.6517412935323383,0.788235294117647
209,3,#a364c9,277.4257425742574,0.5024875621890548,0.788235294117647
114,2,#51b264,131.75257731958763,0.5449438202247191,0.6980392156862745
70,1,#28d932,123.38983050847459,0.815668202764977,0.8509803921568627
371,0,#946c99,293.33333333333337,0.29411764705882354,0.6
195,23,#ca364c,351.0810810810811,0.7326732673267327,0.792156862745098
189,22,#651b26,351.0810810810811,0.7326732673267327,0.396078431372549
227,21,#328d93,183.71134020618555,0.6598639455782312,0.5764705882352941
126,20,#9946c9,278.01526717557255,0.6517412935323383,0.788235294117647
125,19,#cca364,36.34615384615385,0.5098039215686274,0.8
135,18,#e651b2,320.93959731543623,0.6478260869565218,0.9019607843137255
139,17,#7328d9,265.4237288135593,0.815668202764977,0.8509803921568627
182,16,#39946c,153.6263736263736,0.6148648648648649,0.5803921568627451
95,15,#9cca36,78.64864864864866,0.7326732673267327,0.792156862745098
88,14,#4e651b,78.64864864864866,0.7326732673267327,0.396078431372549
135,13,#27328d,233.52941176470588,0.723404255319149,0.5529411764705883
74,12,#939946,64.33734939759036,0.5424836601307189,0.6
130,11,#c9cca3,64.39024390243902,0.20098039215686275,0.8
49,10,#64e651,112.3489932885906,0.6478260869565218,0.9019607843137255
75,9,#b27328,32.608695652173914,0.7752808988764045,0.6980392156862745
115,8,#d93994,325.875,0.7373271889400922,0.8509803921568627
454,7,#ec9cca,325.5,0.3389830508474576,0.9254901960784314
230,6,#f64e65,351.7857142857143,0.6829268292682927,0.9647058823529412
165,5,#fb2732,356.8867924528302,0.8446215139442231,0.984313725490196
317,4,#7d9399,192.85714285714286,0.1830065359477124,0.6
315,3,#bec9cc,192.85714285714286,0.06862745098039216,0.8
112,2,#df64e6,296.7692307692308,0.5652173913043478,0.9019607843137255
131,1,#6fb273,123.58208955223881,0.37640449438202245,0.6980392156862745
67,0,#37d939,120.74074074074075,0.7465437788018433,0.8509803921568627
136,23,#9bec9c,120.74074074074075,0.3432203389830508,0.9254901960784314
96,22,#cdf64e,74.64285714285714,0.6829268292682927,0.9647058823529412
168,20,#e6fb27,65.9433962264151,0.8446215139442231,0.984313725490196
354,19,#f37d93,348.8135593220339,0.48559670781893005,0.9529411764705882
645,18,#f9bec9,348.8135593220339,0.23694779116465864,0.9764705882352941
69,17,#7cdf64,108.29268292682927,0.5515695067264574,0.8745098039215686
143,16,#3e6fb2,214.65517241379308,0.651685393258427,0.6980392156862745
130,15,#1f37d9,232.25806451612902,0.8571428571428571,0.8509803921568627
367,14,#8f9bec,232.25806451612902,0.3940677966101695,0.9254901960784314
579,13,#c7cdf6,232.3404255319149,0.1910569105691057,0.9647058823529412
112,12,#63e6fb,188.28947368421052,0.6055776892430279,0.984313725490196
55,11,#31f37d,143.50515463917526,0.7983539094650206,0.9529411764705882
113,10,#18f9be,164.26666666666665,0.9036144578313253,0.9764705882352941
198,9,#8c7cdf,249.69696969696972,0.4439461883408072,0.8745098039215686
163,8,#c63e6f,338.38235294117646,0.6868686868686869,0.7764705882352941
160,7,#e31f37,352.6530612244898,0.8634361233480177,0.8901960784313725
469,6,#f18f9b,352.6530612244898,0.4066390041493776,0.9450980392156862
321,5,#78c7cd,184.23529411764704,0.4146341463414634,0.803921568627451
108,4,#bc63e6,280.76335877862596,0.5695652173913044,0.9019607843137255
163,3,#5e31f3,253.91752577319588,0.7983539094650206,0.9529411764705882
154,2,#2f18f9,246.13333333333333,0.9036144578313253,0.9764705882352941
138,1,#978c7c,35.55555555555556,0.17880794701986755,0.592156862745098
136,0,#cbc63e,57.87234042553191,0.6945812807881774,0.796078431372549
56,23,#65e31f,98.57142857142857,0.8634361233480177,0.8901960784313725
147,22,#b2f18f,98.57142857142857,0.4066390041493776,0.9450980392156862
303,21,#5978c7,223.0909090909091,0.5527638190954773,0.7803921568627451
129,20,#acbc63,70.78651685393258,0.4734042553191489,0.7372549019607844
183,19,#d65e31,16.363636363636363,0.7710280373831776,0.8392156862745098
124,18,#eb2f18,6.540284360189574,0.8978723404255319,0.9215686274509803
404,17,#75978c,160.58823529411765,0.2251655629139073,0.592156862745098
190,16,#3acbc6,177.93103448275863,0.7142857142857143,0.796078431372549
121,15,#1d65e3,218.1818181818182,0.8722466960352423,0.8901960784313725
222,14,#0eb2f1,196.65198237885463,0.941908713692946,0.9450980392156862
360,13,#875978,319.5652173913044,0.34074074074074073,0.5294117647058824
589,12,#c3acbc,318.2608695652174,0.11794871794871795,0.7647058823529411
58,11,#61d65e,118.5,0.5607476635514018,0.8392156862745098
59,10,#30eb2f,119.68085106382979,0.8,0.9215686274509803
213,9,#187597,196.06299212598424,0.8410596026490066,0.592156862745098
103,8,#0c3acb,225.5497382198953,0.9408866995073891,0.796078431372549
154,7,#061d65,225.47368421052633,0.9405940594059405,0.396078431372549
84,6,#830eb2,282.80487804878044,0.9213483146067416,0.6980392156862745
135,5,#c18759,26.538461538461537,0.538860103626943,0.7568627450980392
286,4,#60c3ac,166.06060606060606,0.5076923076923077,0.7647058823529411
189,3,#3061d6,222.289156626506,0.7757009345794392,0.8392156862745098
173,2,#9830eb,273.36898395721926,0.7957446808510639,0.9215686274509803
